"","struct.summ.site_unique","struct.summ.site_location_name","struct.summ.site_location_visit_id","struct.summ.phenology_comment","struct.summ.upper_1_dominant","struct.summ.upper_2_dominant","struct.summ.upper_3_dominant","struct.summ.mid_1_dominant","struct.summ.mid_2_dominant","struct.summ.mid_3_dominant","struct.summ.ground_1_dominant","struct.summ.ground_2_dominant","struct.summ.ground_3_dominant","struct.summ.description","struct.summ.mass_flowering_event"
"73","NTAGFU0018-53665","NTAGFU0018",53665,"Flowering has finished in Acacia shirleyi but only small percentage appears to have flowered.","NTA 002725","","","","","","NTA 002726","NTA 002734","","Acacia shirleyi low open forest with a ground stratum of Schizachyrium fragile and Eriachne ciliata. No real mid stratum- only scattered individual shrubs. ",FALSE
"74","NTAGFU0031-53678","NTAGFU0031",53678,"Tussock  grasses have dried off. Triodia bitextura is still green but has shed seed. Melaleuca viridiflora has finished flowering and has seed pods. Grevillea pteridifolia and Calytrix exstipulata are flowering  throughout the site.","","","","NTA 003622","NTA 003613","NTA 003618","NTA 003588","NTA 003598","NTA 003631","Melaleuca viridiflora tall shrubland with emergent Corymbia drysdalensis. Petalostigma banksii and Calytrix brownii also forming the mid-stratum . Ground stratum dominated by Schizachyrium pachyarthron with scattered hummocks of Triodia bitextura.",FALSE
"75","NTAGFU0015-53662","NTAGFU0015",53662,"Acacia phlebocarpa is flowering and has fruit. Melaleuca stenostachya have just finished flowering.  Eucalyptus pruinosa has pods.  Approximately 30% of trees have seed pods. Other tussock grasses, sedges  and Triodia pungens have shed seeds","NTA 002494",NA,NA,"NTA 002520","NTA 002521",NA,"NTA 002498","NTA 002519",NA,"Eucalyptus pruinosa mid Mallee woodland with a mid stratum dominated by Acacia phlebocarpa and Melaleuca stenostachya and other scattered shrubs and a dense ground stratum dominated by Triodia pungens.",FALSE
"76","SAAEYB0007-58848","SAAEYB0007",58848,"Wet- recent rain in previous weeks - Fruiting and flowering. Eucalyptus spp, Lomandra effusa ( esp. on norther edge)   Templetonia retusa, Acacia leiophylla, Spyridium phylicoides, Correa pulchella are flowering. Some orchids but most haven't flowered yet.","SAA012235","SAA012243","SAA012365","SAA012413","SAA012361","SAA012381","SAA012345","SAA012369","SAA012301","Eucalyptus diversifolia/ Eucalyptus phenax subsp. phenax X Eucalyptus rugosa low mallee woodland (3m) with Callitris sp. Limestone (M.D.Crisp 11785), Eucalyptus oleosa subsp. ampliata and Exocarpos aphyllus. A dense mid stratum dominated by Templetonia retusa with Melaleuca acuminata. A low heathy ground stratum of Acrotriche cordata with Gahnia deusta and Gahnia lanigera. High moss cover in ground layer.",FALSE
"77","NTAGFU0013-53660","NTAGFU0013",53660,"","","","","NTA 002400","NTA 002391","NTA 002390","NTA 002346","NTA 002399","NTA 002385","Melaleuca stenostachya tall open shrubland with Acacia phlebocarpa and a diverse tussock and hummock grass understratum dominated by Chrysopogon fallax. Some emergent Eucalyptus Leucophloia and Eucalyptus pruinosa. ",FALSE
"78","NTAGFU0027-53674","NTAGFU0027",53674,"Corymbia (ferruginea, drysdalensis) and Eucalyptus phoenicea have shed seed. All 3 have large amounts of fruit. Petalostigma pubescens and Petalostigma banksii all have large amounts of fruit. Acacia hammondii are all flowering. Tussock grasses have dried off Triodia bitextura are still green. ","NTA 003280","","","NTA 003286","NTA 003281","","NTA 003256","NTA 003320","NTA 003257","Corymbia ferruginea low open woodland with a mid-stratum of Acacia hammondii and Petalostigma pubescens. Ground stratum dominated by Schizachyrium fragile with patches of Triodia bitextura",FALSE
"79","NTAGFU0028-53675","NTAGFU0028",53675,"Corymbia ( ferruginea and confertiflora) have all finished fruiting. A few Eucalyptus miniata are still flowering. No seeds on Triodia bitextura with only odd plant having seed heads. Tussock grasses have shed seed and dried off . About half of the Terminalia canescens have fruit. ","NTA 003384","NTA 003401","","NTA 003365","","","NTA 003387","NTA 003400","NTA 003362","Eucalyptus tectifica low woodland with a sparse Mid-stratum of Terminalia canescens. Ground stratum of Triodia bitextura with some scattered tussock grasses. Isolated Eucalyptus phoenicea through the site and Eucalyptus miniata on the eastern boundary.",FALSE
"80","NTAGFU0029-53676","NTAGFU0029",53676,"Most fruiting and flowering finished with only a small amount of residual seed on the Eucalyptus tectifica and Terminalia platyphylla.","NTA 003443","NTA 003465","NTA 003443","","","","NTA 003458","NTA 003455","NTA 003463","Eucalyptus tectifica/ Eucalyptus microtheca low woodland with Grevillea striata. A diverse tussock grass ground stratum of Chrysopogon pallidus, Sorghum sp. Eragrostis setifolia and Schizachyrium fragile. No mid stratum- some scattered, isolated shrubs. ",FALSE
"81","NTAGFU0030-53677","NTAGFU0030",53677,"No fruit or flowers on Acacia shirleyi . Tussock grasses have dried off. Some annual forbs- Goodenia byrnesii flowering. Eucalyptus tectifica, Corymbia drysdalensis and Petalostigma banksii have finished fruiting . Grevillea pteridifolia flowering but sparse in site. Around 20% Calytrix brownii flowering with the rest finished. ","NTA 003560","","","","","","NTA 003522","","","Acacia shirleyi low open forest with a mid-stratum of sparse, isolated shrubs and a ground stratum of Schizachyrium fragile.",FALSE
"82","QDAMGD0024-53502","QDAMGD0024",53502,"","QDA  003562","","","","","","QDA  003533","","","Acacia cambagei low open woodland with ground stratum of Eragrostis xerophila and scattered Astrebla pectinata",FALSE
"83","NTAGFU0033-53680","NTAGFU0033",53680,"Lots of flowers on ground from Acacia shirleyi . No seeds pods as yet. Tussock grasses dry","NTA 003675","","","","","","NTA 003698","","","Acacia shirleyi low open forest with a diverse mid-stratum of scattered, isolate shrubs and a ground stratum dominated by Schizachyrium fragile",FALSE
"84","NTAGFU0026-53673","NTAGFU0026",53673,"","NTA 003206","NTA 003216","","","","","NTA 003211","NTA 003204","NTA 003208","Eucalyptus tectifica low woodland with Grevillia striata and a varied tussock grass under of Schizachyrium fragile Chrysopogon sp. and Aristida hygrometrica. No real mid stratum- only scattered shrubs and younger Lysiphyllum sp. and Brachychiton sp.",FALSE
"85","NTAGFU0025-53672","NTAGFU0025",53672,"Tussock grasses have finished seeding but are still green. Melaleuca stenostachya- not much evidence of fruiting- only few scattered seeds pods on trees. Annuals have dried out.","","","","NTA 003138","NTA 003144","","NTA 003175","NTA 003152","NTA 003149","Melaleuca stenostachya mid shrubland with a dense ground stratum of Eulalia aurea and Chrysopogon setifolius. Mid stratum other than Melaleuca stenostachya sparse with only Terminalia volucris having notable cover.",FALSE
"86","NTAGFU0036-53683","NTAGFU0036",53683,"","NTA 004143","NTA 004165","","","","","NTA 004175","","","Acacia shirleyi low open forest with scattered Eucalyptus leucophloia and a ground stratum dominated by Schizachyrium fragile",FALSE
"87","NTAGFU0038-53685","NTAGFU0038",53685,"Tussock grasses dried out with seed shed. Terminalia platyptera has fruit but is not common in the site. Petalostigma banksii just losing leaves.","NTA 003879","NTA 003886","","NTA 003880","","","NTA 003860","","","Acacia shirleyi low open forest with scattered Eucalyptus leucophloia. A sparse mid stratum of Terminalia canescens and a ground stratum dominated by Schizachyrium fragile.",FALSE
"88","NTAGFU0039-53686","NTAGFU0039",53686,NA,"NTA 003926",NA,NA,"NTA 003918",NA,NA,"NTA 003943","NTA 003920","NTA 003891","Eucalyptus pruinosa mid open Mallee woodland with a sparse mid stratum of Terminalia canescens and diverse dense tussock grass ground stratum dominated by Sorghum plumosum, Schizachyrium fragile and Chrysopogon fallax.",FALSE
"89","NTAGFU0040-53687","NTAGFU0040",53687,"Eucalyptus tectifica has buds throughout the site. Other Corymbia (polycarpa, bella) have finished fruiting. Acacia dimidiata is flowering. Petalostigma banksii has finished fruiting with only the odd fruit remaining. Tussock grasses have mostly dried off.","NTA 003965","NTA 004202","NTA 003965","NTA 004200","NTA 004211","","NTA 003995","NTA 003972","NTA 004219","Eucalyptus tectifica / Corymbia polycarpa low woodland with Terminalia platyptera. A dense mid stratum of Acacia dimidiata and a diverse tussock grass ground stratum dominated by Heteropogon contortus, Sorghum sp. and Dichanthium fecundum. ",FALSE
"90","NTASSD0004-53692","NTASSD0004",53692,"","","","","NTA 004483","","","NTA 004488","NTA 004423","NTA 004426","Eremophila macdonnellii low open shrubland. Ground stratum of Scaevola parvibarbata, Aristida holathera and Scaevola depauperata. Some Triodia basedowii present in ground stratum. No shrubs over 1m. Large areas of dead leaf material.",FALSE
"91","NTAMGD0002-53466","NTAMGD0002",53466,"","","","","","","","NTA  006345","NTA  006387","NTA  006333","Sorghum timorense, Dactyloctenium radulans and Astrebla squarrosa diverse low open tussock grassland with diverse stratum of annual forbs dominated by Sida fibulifera.",FALSE
"92","NTASSD0005-53693","NTASSD0005",53693,"","","","","NTA 004523","","","NTA 004540","NTA 004455","NTA 004457","Acacia murrayana low sparse shrubland with understratum of Zygochloa paradoxa, Sida ammophila and Aristida holathera.",FALSE
"93","NTASSD0019-53567","NTASSD0019",53567,"","NTA  005726","","","NTA  005738","","","","","","Eucalyptus coolabah low sparse woodland with a sparse mid stratum of Senna artemisioides subsp. indeterminate and a sparse ground stratum of isolated Aristida holathera.",FALSE
"94","NTASSD0007-53695","NTASSD0007",53695,"","","","","","","","NTA 004545","NTA 004564","NTA 004559","Zygochloa paradoxa low sparse hummock grassland with Aristida holathera, Sida ammophila and scattered annual forbs.",FALSE
"95","NTASSD0009-53696","NTASSD0009",53696,"","","","","NTA 004699","","","NTA 004775","NTA 004766","NTA 004761","Eriachne aristidea, Aristida contorta, Triraphis mollis low open tussock grassland with a sparse mid stratum of Eremophila macdonnellii.",FALSE
"96","NTASSD0010-53697","NTASSD0010",53697,"","","","","","","","NTA 004742","NTA 004767","NTA 004859","Zygochloa paradoxa tall sparse hummock grassland with Goodenia cycloptera and Aristida holathera ground cover.",FALSE
"97","NTASSD0017-53561","NTASSD0017",53561,"","","","","NTA  005375","","","NTA  005420","","","Eremophila freelingii low sparse shrubland with scattered Senna artemisioides and a sparse ground stratum of Sclerolaena cuneata.",FALSE
"98","NTASSD0018-53562","NTASSD0018",53562,"","","","","","","","NTA  005521","","","Sporobolus actinocladus low sparse tussock grassland with isolated Eragrostis setifolia,  Sclerolaena cuneata, Tecticornia tenuis.",FALSE
"99","QDAEIU0002-53523","QDAEIU0002",53523," Some very light rain overnight, grasses mostly still green.","QDA  002207","QDA  002143","","","","","QDA  002203","QDA  002185","QDA  002163","Eucalyptus crebra / Eucalyptus camaldulensis subsp. acuta. mid open wood land. Dense tussock grass understratum dominated by Dichanthium fecundum with Themeda quadrivalvis, Heteropogon triticeus and Dichanthium aristatum.",FALSE
"100","NTTPCK0001-53584","NTTPCK0001",53584,"Fruit on some Livistona, Zamia and Terminalia very little on Eucalyptus or Corymbia. ","NTT  003411","NTT  003465","NTT  003411","NTT  003473","NTT  003489","NTT  003525","NTT  003511","NTT  003427","NTT  003435","Eucalyptus tetrodonta mid open forest with Erythrophleum chlorostachys and Corymbia grandifolia subsp. grandifolia. Upper mid stratum of Terminalia ferdinandiana and Brachychiton sp. and some taller Livistona humilis. Mid stratum is dominated by Livistona humilius, younger Eucalyptus and Corymbia grandifolia subsp. grandifolia. Ground stratum is mixed tussock grasses- Chrysopogon latifolius, Pseudopogonatherum sp., with Alloteropsis semialata. ",FALSE
"101","WAAMUR0029-59010","WAAMUR0029",59010,"The climate is wet, the surface is dry but wet below. The vegetation response is active growth, the Triodia brizoides has shed all its seed but actively growing. The Eucalyptus gongylocarpa and Hakea have fruit. Nothing is currently flowering.


","WAA032598","NO_BARCODE_DEAD_TREE_245564","None","WAA032606","WAA032564","WAA032592","WAA032630","None","None","Upper stratum dominated by Eucalyptus gongylocarpa (9m) open woodland. Mid stratum of Eremophila forrestii subsp. forrestii (1m) and Acacia spp. (2m) shrubland. Ground stratum dominated by Triodia brizoides (25cm) hummock grassland ",FALSE
"102","WAAMUR0029-53573","WAAMUR0029",53573,"FLOWERS ON ALUTA,  DODONAEA,  HALGANIA,  ACACIA,  ANGIANTHUS,  BONAMIA,  ephemerals,  Leptosemma, ","WAA  004396",NA,NA,"WAA  004452","WAA  004436","WAA  004404","WAA  004402","WAA  004432","WAA  004394","Eucalyptus gongylocarpa Open woodland (<10m) with Isolated mallee shrubs (<3(<10)m) of Eucalyptus sp., Eucalyptus leptopoda subsp. elevata, Eucalyptus kingsmillii subsp. kingsmillii. Isolated shrubs (>2m) of Hakea francisiana, and Grevillea juncifolia subsp. temulenta. Sparse shrubland (1-2m) of Acacia ligulata, Acacia effusifolia, Acacia minyura, Acacia jamesiana, Eremophila forrestii subsp. forrestii, Eremophila platythamnos subsp. platythamnos, Senna artemisioides subsp. x artemisioides, Acacia pachyachra. Sparse shrubland (<1m) of Halgania cyanea var. Allambi Station (B.W. Strong 676), ",FALSE
"103","QDAGUP0001-53526","QDAGUP0001",53526,"Grasses have all had seed but have shed. Eucalyptus microneura is flowering. Bauhinia has fruit, dry. Corymbia setosa has fruited. ","QDA  002475","","","QDA  002469","","","QDA 002481","QDA  002483","","Corymbia setosa low open woodland with scattered Eucalyptus microneura. A mid stratum of Acacia torulosa and a ground stratum dominated by Eriachne nervosa, and Aristida ingrata.",FALSE
"104","QDAGUP0002-53475","QDAGUP0002",53475,"","QDA  003815","QDA  003807","","QDA  003833","","","QDA  003777","","","Erythrophleum chlorostachys low woodland with Eucalyptus microneura and emergent Corymbia spp. Mid stratum of Acacia julifera subsp. Julifera and a sparse ground stratum dominated by tussock grasses including Aristida ingrata.",FALSE
"105","QDAGUP0005-53528","QDAGUP0005",53528,"Residual flowers and fruit on Melaleuca citrolens. Dodonaea physocarpa has just fruited, everything else dry.","QDA  002755","QDA  002779","","QDA  002755","QDA  002779","QDA  002777","QDA  002801","","","Melaleuca citrolens low woodland to tall open shrubland with some Lysiphyllum cunninghamii. A mid stratum dominated by Carissa lanceolata and a sparse ground stratum with assorted tussock grasses mainly Aristida spp.",FALSE
"106","QDAGUP0007-53478","QDAGUP0007",53478,"","","","","","","","QDA  004097","QDA  004109","QDA  004137","Aristida latifolia low tussock grassland with Panicum decompositum var. tenuis and other tussock grasses.",FALSE
"107","QDAGUP0016-53481","QDAGUP0016",53481,"","QDA  004495","","","QDA  004495","","","QDA  004483","QDA  004507","QDA  004489","Eucalyptus microtheca low woodland. Few shrubs and ground stratum of Astrebla elymoides, Aristida latifolia, Panicum decompositum var. tenuius and Eulalia aurea.",FALSE
"108","QDAMGD0008-53493","QDAMGD0008",53493,"","","","","","","","QDA  000702","QDA  000708","QDA  000700","Astrebla lappacea low open tussock grassland with Astrebla elymoides, and Cenchrus ciliaris.",FALSE
"109","QDAGUP0008-53529","QDAGUP0008",53529,"Corymbia pocillum has immature fruit. Acacia colei, Lysiphyllum cunninghamii and Erythrophleum chlorostachys have dried pods.","QDA  002891","QDA  002865","QDA  002891","QDA  002899","QDA  002927","QDA  002911","QDA  002917","QDA  002863","QDA  002905","Melaleuca nervosa / Melaleuca viridiflora low woodland to tall open shrubland with Erythrophleum chlorostachys and Grevillea striata Acacia platycarpa dominate the mid stratum with Petalostigma pubescens and a ground stratum of mixed Aristida species.",FALSE
"110","QDAEIU0005-53472","QDAEIU0005",53472,"","","","","","","","QDA  005147","","","Pseudoraphis spinescens low sparse tussock grassland with scattered trees - Eucalyptus platyphylla and Corymbia polycarpa.",FALSE
"111","QDAGUP0004-53476","QDAGUP0004",53476,"","QDA  003971","QDA  003955","","QDA  003967","","","","","","Lysiphyllum cunninghamii low woodland with Terminalia aridicola subsp. aridicola. The mid stratum dominated by Acacia torulosa with some Carissa lanceolata and a sparse ground stratum of mixed tussock grasses.",FALSE
"112","QDAGUP0019-53534","QDAGUP0019",53534,"Some patchy fruiting on Sporobolus virginicus and Eragrostis sp. but otherwise no fruiting or flowering. Leptochloa and other tussock grasses dry but Sporobolus virginicus still green. ","","","","","","","QDA  006539","QDA  006545","QDA  006527","Sporobolus virginicus low open tussock grassland to Tecticornia indica subsp. indica low open chenopod shrubland with some Diplachne fusca var. fusca, isolated Excoecaria parvifolia and Avicennia marina subsp. eucalyptifolia. ",FALSE
